year,country,average_temperature
1745,Saint Pierre And Miquelon,-3.6157500000000002
1745,San Marino,7.0625
1745,Serbia,2.3405
1745,Slovakia,-0.36024999999999996
1745,Slovenia,2.4642500000000003
1745,Spain,7.931749999999999
1745,Sweden,-6.823250000000001
1745,Switzerland,0.44225000000000003
1745,Ukraine,-1.6200000000000008
1745,United Kingdom,4.0504999999999995
1745,United Kingdom (Europe),3.8175000000000003
1745,Åland,-3.8964999999999996
1746,Albania,
1746,Andorra,
1746,Austria,
1746,Belarus,
1746,Belgium,
1746,Bosnia And Herzegovina,
1746,Bulgaria,
1746,Croatia,
1746,Czech Republic,
1746,Denmark (Europe),
1746,Estonia,
1746,Europe,
1746,Faroe Islands,
1746,Finland,
1746,France,
1746,France (Europe),
1746,Germany,
1746,Greece,
1746,Guernsey,
1746,Hungary,
1746,Iceland,
1746,Ireland,
1746,Isle Of Man,
1746,Italy,
1746,Jersey,
1746,Latvia,
1746,Liechtenstein,
1746,Lithuania,
1746,Luxembourg,
1746,Macedonia,
1746,Moldova,
1746,Monaco,
1746,Montenegro,
1746,Netherlands,
1746,Netherlands (Europe),
1746,Norway,
1746,Poland,
1746,Romania,
1746,Saint Pierre And Miquelon,
1746,San Marino,
1746,Serbia,
1746,Slovakia,
1746,Slovenia,
1746,Spain,
1746,Sweden,
1746,Switzerland,
1746,Ukraine,
1746,United Kingdom,
1746,United Kingdom (Europe),
1746,Åland,
1747,Albania,
1747,Andorra,
1747,Austria,
1747,Belarus,
1747,Belgium,
1747,Bosnia And Herzegovina,
1747,Bulgaria,
1747,Croatia,
1747,Czech Republic,
1747,Denmark (Europe),
1747,Estonia,
1747,Europe,
1747,Faroe Islands,
1747,Finland,
1747,France,
1747,France (Europe),
1747,Germany,
1747,Greece,
1747,Guernsey,
1747,Hungary,
1747,Iceland,
1747,Ireland,
1747,Isle Of Man,
1747,Italy,
1747,Jersey,
1747,Latvia,
1747,Liechtenstein,
1747,Lithuania,
1747,Luxembourg,
1747,Macedonia,
1747,Moldova,
1747,Monaco,
1747,Montenegro,
1747,Netherlands,
1747,Netherlands (Europe),
1747,Norway,
1747,Poland,
1747,Romania,
1747,Saint Pierre And Miquelon,
1747,San Marino,
1747,Serbia,
1747,Slovakia,
1747,Slovenia,
1747,Spain,
1747,Sweden,
1747,Switzerland,
1747,Ukraine,
1747,United Kingdom,
1747,United Kingdom (Europe),
1747,Åland,
1748,Albania,
1748,Andorra,
1748,Austria,
1748,Belarus,
1748,Belgium,
1748,Bosnia And Herzegovina,
1748,Bulgaria,
1748,Croatia,
1748,Czech Republic,
1748,Denmark (Europe),
1748,Estonia,
1748,Europe,
1748,Faroe Islands,
1748,Finland,
1748,France,
1748,France (Europe),
1748,Germany,
1748,Greece,
1748,Guernsey,
1748,Hungary,
1748,Iceland,
1748,Ireland,
1748,Isle Of Man,
1748,Italy,
1748,Jersey,
1748,Latvia,
1748,Liechtenstein,
1748,Lithuania,
1748,Luxembourg,
1748,Macedonia,
1748,Moldova,
1748,Monaco,
1748,Montenegro,
1748,Netherlands,
1748,Netherlands (Europe),
1748,Norway,
1748,Poland,
1748,Romania,
1748,Saint Pierre And Miquelon,
1748,San Marino,
1748,Serbia,
1748,Slovakia,
1748,Slovenia,
1748,Spain,
1748,Sweden,
1748,Switzerland,
1748,Ukraine,
1748,United Kingdom,
1748,United Kingdom (Europe),
1748,Åland,
1749,Albania,
1749,Andorra,
1749,Austria,
1749,Belarus,
1749,Belgium,
1749,Bosnia And Herzegovina,
1749,Bulgaria,
1749,Croatia,
1749,Czech Republic,
1749,Denmark (Europe),
1749,Estonia,
1749,Europe,
1749,Faroe Islands,
1749,Finland,
1749,France,
1749,France (Europe),
1749,Germany,
1749,Greece,
1749,Guernsey,
1749,Hungary,
1749,Iceland,
1749,Ireland,
1749,Isle Of Man,
1749,Italy,
1749,Jersey,
1749,Latvia,
1749,Liechtenstein,
1749,Lithuania,
1749,Luxembourg,
1749,Macedonia,
1749,Moldova,
1749,Monaco,
1749,Montenegro,
1749,Netherlands,
1749,Netherlands (Europe),
1749,Norway,
1749,Poland,
1749,Romania,
1749,Saint Pierre And Miquelon,
1749,San Marino,
1749,Serbia,
1749,Slovakia,
1749,Slovenia,
1749,Spain,
1749,Sweden,
1749,Switzerland,
1749,Ukraine,
1749,United Kingdom,
1749,United Kingdom (Europe),
1749,Åland,
1750,Albania,13.097909090909091
1750,Andorra,11.759363636363638
1750,Austria,6.983545454545455
1750,Belarus,6.690545454545454
1750,Belgium,10.341363636363637
1750,Bosnia And Herzegovina,11.030454545454544
1750,Bulgaria,11.02
1750,Croatia,12.01290909090909
1750,Czech Republic,8.458818181818181
1750,Denmark (Europe),8.79718181818182
1750,Estonia,5.801909090909091
1750,Europe,8.590636363636364
1750,Faroe Islands,7.164636363636363
1750,Finland,2.226363636363636
1750,France,13.329
1750,France (Europe),11.085909090909091
1750,Germany,9.038636363636364
1750,Greece,15.187727272727273
1750,Guernsey,11.381818181818181
1750,Hungary,10.487454545454545
1750,Iceland,1.9614545454545456
1750,Ireland,9.988636363636363
1750,Isle Of Man,9.882818181818182
1750,Italy,13.27090909090909
1750,Jersey,11.381818181818181
1750,Latvia,6.323090909090909
1750,Liechtenstein,5.40009090909091
1750,Lithuania,6.856
1750,Luxembourg,10.011545454545455
1750,Macedonia,10.94809090909091
1750,Moldova,9.633909090909093
1750,Monaco,9.689636363636364
1750,Montenegro,10.801272727272728
1750,Netherlands,10.369000000000002
1750,Netherlands (Europe),9.994727272727273
1750,Norway,1.041090909090909
1750,Poland,8.344818181818182
1750,Romania,9.418545454545454
1750,Saint Pierre And Miquelon,4.518272727272727
1750,San Marino,14.301454545454545
1750,Serbia,10.632363636363637
1750,Slovakia,8.284636363636364
1750,Slovenia,10.368181818181817
1750,Spain,14.120636363636363
1750,Sweden,3.5170909090909093
1750,Switzerland,7.738090909090909
1750,Ukraine,8.390818181818183
1750,United Kingdom,9.144181818181819
1750,United Kingdom (Europe),9.355
1750,Åland,6.293272727272727
1751,Albania,13.57325
1751,Andorra,12.197
1751,Austria,7.185
1751,Belarus,6.689500000000001
1751,Belgium,10.146625
1751,Bosnia And Herzegovina,11.419375
1751,Bulgaria,11.472875
1751,Croatia,12.386625
1751,Czech Republic,8.548124999999999
1751,Denmark (Europe),8.1675
1751,Estonia,5.46325
1751,Europe,8.684375
1751,Faroe Islands,6.6438749999999995
1751,Finland,2.083
1751,France,13.42825
1751,France (Europe),11.231125
1751,Germany,8.93425
1751,Greece,15.686375
1751,Guernsey,11.052625
1751,Hungary,10.820875000000001
1751,Iceland,2.022375
1751,Ireland,9.798125
1751,Isle Of Man,9.32475
1751,Italy,13.615499999999999
1751,Jersey,11.052625
1751,Latvia,6.073750000000001
1751,Liechtenstein,5.5440000000000005
1751,Lithuania,6.599625
1751,Luxembourg,9.896125
1751,Macedonia,11.530000000000001
1751,Moldova,10.015
1751,Monaco,10.121625
1751,Montenegro,11.312875
1751,Netherlands,9.959625
1751,Netherlands (Europe),9.57875
1751,Norway,0.7757499999999999
1751,Poland,8.283625
1751,Romania,9.793875
1751,Saint Pierre And Miquelon,4.891500000000001
1751,San Marino,14.437750000000001
1751,Serbia,11.092625
1751,Slovakia,8.435125
1751,Slovenia,10.698375
1751,Spain,14.710374999999999
1751,Sweden,3.102875
1751,Switzerland,7.923750000000001
1751,Ukraine,8.709624999999999
1751,United Kingdom,8.831875
1751,United Kingdom (Europe),9.026250000000001
1751,Åland,5.397375
1752,Albania,8.239833333333333
1752,Andorra,7.418666666666667
1752,Austria,1.8215000000000001
1752,Belarus,0.5388333333333333
1752,Belgium,6.060666666666666
1752,Bosnia And Herzegovina,5.925333333333334
1752,Bulgaria,5.6285
1752,Croatia,6.759833333333333
1752,Czech Republic,3.2341666666666664
1752,Denmark (Europe),4.3838333333333335
1752,Estonia,-0.15633333333333346
1752,Europe,3.3956666666666666
1752,Faroe Islands,5.2745
1752,Finland,-4.396833333333333
1752,France,9.864333333333333
1752,France (Europe),6.853833333333333
1752,Germany,4.240333333333333
1752,Greece,10.4145
1752,Guernsey,9.055166666666667
1752,Hungary,4.7860000000000005
1752,Iceland,-1.655166666666667
1752,Ireland,7.203833333333333
1752,Isle Of Man,7.759166666666668
1752,Italy,8.750166666666667
1752,Jersey,9.055166666666667
1752,Latvia,0.30150000000000005
1752,Liechtenstein,0.5271666666666665
1752,Lithuania,1.1055
1752,Luxembourg,5.548333333333333
1752,Macedonia,5.430666666666666
1752,Moldova,3.361333333333333
1752,Monaco,4.795
1752,Montenegro,5.471166666666666
1752,Netherlands,6.4318333333333335
1752,Netherlands (Europe),5.9875
1752,Norway,-4.325
1752,Poland,2.8546666666666667
1752,Romania,3.6688333333333336
1752,Saint Pierre And Miquelon,-0.40266666666666656
1752,San Marino,10.298333333333334
1752,Serbia,5.071833333333333
1752,Slovakia,2.9486666666666665
1752,Slovenia,5.1455
1752,Spain,9.621166666666666
1752,Sweden,-2.6031666666666666
1752,Switzerland,2.9163333333333337
1752,Ukraine,1.9848333333333328
1752,United Kingdom,6.255166666666667
1752,United Kingdom (Europe),6.194333333333333
1752,Åland,1.625
1753,Albania,12.557
1753,Andorra,11.234499999999999
1753,Austria,6.138916666666667
1753,Belarus,5.65175
1753,Belgium,9.457083333333333
1753,Bosnia And Herzegovina,10.365583333333333
1753,Bulgaria,10.399500000000002
1753,Croatia,11.2875
1753,Czech Republic,7.494916666666666
1753,Denmark (Europe),7.5680000000000005
1753,Estonia,4.6585
1753,Europe,7.736249999999999
1753,Faroe Islands,6.499583333333334
1753,Finland,1.1211666666666664
1753,France,12.771833333333333
1753,France (Europe),10.43
1753,Germany,8.029166666666667
1753,Greece,14.713166666666666
1753,Guernsey,10.926
1753,Hungary,9.61875
1753,Iceland,1.3155
1753,Ireland,9.369083333333334
1753,Isle Of Man,9.30625
1753,Italy,12.737416666666666
1753,Jersey,10.926
1753,Latvia,5.1353333333333335
1753,Liechtenstein,4.6125
1753,Lithuania,5.709166666666666
1753,Luxembourg,9.137749999999999
1753,Macedonia,10.31125
1753,Malta,18.474333333333334
1753,Moldova,8.812833333333336
1753,Monaco,9.065583333333333
1753,Montenegro,10.1555
1753,Netherlands,9.440083333333334
1753,Netherlands (Europe),9.048250000000001
1753,Norway,-0.0538333333333334
1753,Poland,7.262833333333333
1753,Portugal,14.682333333333332
1753,Romania,8.655333333333333
1753,Saint Pierre And Miquelon,4.215833333333333
1753,San Marino,13.816166666666668
1753,Serbia,9.910166666666667
1753,Slovakia,7.395666666666667
1753,Slovenia,9.611166666666668
1753,Spain,13.628083333333334
1753,Sweden,2.194916666666667
1753,Switzerland,6.995
1753,Tunisia,19.96125
1753,Ukraine,7.525083333333332
1753,United Kingdom,8.426083333333333
1753,United Kingdom (Europe),8.593083333333334
1753,Åland,5.118333333333333
1754,Albania,12.548166666666667
1754,Andorra,11.116166666666667
1754,Austria,5.907333333333334
1754,Belarus,5.692916666666666
1754,Belgium,9.137916666666667
1754,Bosnia And Herzegovina,10.252166666666666
1754,Bulgaria,10.45675
1754,Croatia,11.130250000000002
1754,Czech Republic,7.285416666666666
1754,Denmark (Europe),7.433083333333333
1754,Estonia,4.6539166666666665
1754,Europe,7.707333333333334
1754,Faroe Islands,6.62175
1754,Finland,1.243916666666667
1754,France,12.66625
1754,France (Europe),10.235583333333333
1754,Germany,7.759833333333333
1754,Greece,14.794833333333335
1754,Guernsey,10.781583333333332
1754,Hungary,9.501416666666666
1754,Iceland,1.5579166666666664
1754,Ireland,9.356416666666666
1754,Isle Of Man,9.209
1754,Italy,12.563250000000002
1754,Jersey,10.781583333333332
1754,Latvia,5.1234166666666665
1754,Liechtenstein,4.326666666666667
1754,Lithuania,5.677166666666667
1754,Luxembourg,8.827583333333335
1754,Macedonia,10.321666666666667
1754,Malta,18.51275
1754,Moldova,8.887666666666666
1754,Monaco,8.81275
1754,Montenegro,10.107916666666666
1754,Netherlands,9.111833333333331
1754,Netherlands (Europe),8.705916666666667
1754,Norway,0.08416666666666679
1754,Poland,7.148
1754,Portugal,14.787916666666666
1754,Romania,8.669833333333333
1754,Saint Pierre And Miquelon,4.618
1754,San Marino,13.609250000000001
1754,Serbia,9.86275
1754,Slovakia,7.269166666666666
1754,Slovenia,9.40675
1754,Spain,13.655083333333335
1754,Sweden,2.2743333333333338
1754,Switzerland,6.7115
1754,Tunisia,20.038333333333334
1754,Ukraine,7.63525
1754,United Kingdom,8.338833333333334
1754,United Kingdom (Europe),8.478666666666667
1754,Åland,5.118083333333334
1755,Albania,12.322583333333334
1755,Andorra,10.806666666666667
1755,Austria,5.671916666666667
1755,Belarus,5.580166666666667
1755,Belgium,8.885583333333333
1755,Bosnia And Herzegovina,10.037916666666666
1755,Bulgaria,10.244166666666667
1755,Croatia,10.914499999999999
1755,Czech Republic,7.062833333333334
1755,Denmark (Europe),7.222333333333334
1755,Estonia,4.55375
1755,Europe,7.458916666666666
1755,Faroe Islands,6.267666666666667
1755,Finland,1.0332500000000002
1755,France,12.343499999999999
1755,France (Europe),9.91075
1755,Germany,7.52
1755,Greece,14.555333333333335
1755,Guernsey,10.472666666666667
1755,Hungary,9.299000000000001
1755,Iceland,1.2022500000000003
1755,Ireland,9.049666666666665
1755,Isle Of Man,8.924583333333334
1755,Italy,12.329833333333333
1755,Jersey,10.472666666666667
1755,Latvia,5.003666666666668
1755,Liechtenstein,4.053333333333334
1755,Lithuania,5.54075
1755,Luxembourg,8.545583333333333
1755,Macedonia,10.099416666666668
1755,Malta,18.25475
1755,Moldova,8.713583333333334
1755,Monaco,8.554499999999999
1755,Montenegro,9.890083333333333
1755,Netherlands,8.92475
1755,Netherlands (Europe),8.521666666666667
1755,Norway,-0.27191666666666636
1755,Poland,6.966333333333334
1755,Portugal,14.478916666666668
1755,Romania,8.478083333333332
1755,Saint Pierre And Miquelon,1.9281000000000001
1755,San Marino,13.392000000000001
1755,Serbia,9.65225
1755,Slovakia,7.072416666666666
1755,Slovenia,9.1855
1755,Spain,13.344666666666667
1755,Sweden,1.9205000000000003
1755,Switzerland,6.3995
1755,Tunisia,19.764583333333334
1755,Ukraine,7.478249999999999
1755,United Kingdom,8.054833333333333
1755,United Kingdom (Europe),8.196583333333333
1755,Åland,4.732833333333333
1756,Albania,13.025916666666667
1756,Andorra,11.097833333333334
1756,Austria,6.463583333333333
1756,Belarus,6.297416666666667
1756,Belgium,9.398
1756,Bosnia And Herzegovina,10.770000000000001
1756,Bulgaria,11.01225
1756,Croatia,11.650916666666667
1756,Czech Republic,8.079666666666666
1756,Denmark (Europe),8.002666666666666
1756,Estonia,5.038083333333333
1756,Europe,8.06125
1756,Faroe Islands,6.777833333333334
1756,Finland,1.4245833333333335
1756,France,12.711
1756,France (Europe),10.22725
1756,Germany,8.40875
1756,Greece,15.256666666666668
1756,Guernsey,10.831666666666665
1756,Hungary,10.1645
1756,Iceland,1.7383333333333333
1756,Ireland,9.501416666666666
1756,Isle Of Man,9.394250000000001
1756,Italy,12.84875
1756,Jersey,10.831666666666665
1756,Latvia,5.596833333333333
1756,Liechtenstein,4.63825
1756,Lithuania,6.263083333333333
1756,Luxembourg,9.052916666666667
1756,Macedonia,10.829416666666667
1756,Malta,18.794583333333332
1756,Moldova,9.511416666666667
1756,Monaco,8.863
1756,Montenegro,10.616083333333334
1756,Netherlands,9.568666666666667
1756,Netherlands (Europe),9.166583333333334
1756,Norway,0.19474999999999998
1756,Poland,7.976416666666666
1756,Portugal,14.834333333333333
1756,Romania,9.295833333333333
1756,Saint Pierre And Miquelon,5.321555555555555
1756,San Marino,13.994916666666667
1756,Serbia,10.428500000000001
1756,Slovakia,8.012666666666666
1756,Slovenia,9.906583333333334
1756,Spain,13.675666666666666
1756,Sweden,2.3930000000000002
1756,Switzerland,6.7893333333333326
1756,Tunisia,20.22908333333333
1756,Ukraine,8.2355
1756,United Kingdom,8.536083333333334
1756,United Kingdom (Europe),8.669583333333334
1756,Åland,5.1605
1757,Albania,12.730333333333334
1757,Andorra,10.868250000000002
1757,Austria,6.097166666666666
1757,Belarus,6.301666666666667
1757,Belgium,9.221416666666668
1757,Bosnia And Herzegovina,10.439083333333334
1757,Bulgaria,10.759833333333333
1757,Croatia,11.30675
1757,Czech Republic,7.696749999999999
1757,Denmark (Europe),8.038
1757,Estonia,5.271333333333334
1757,Europe,7.957333333333334
1757,Faroe Islands,6.865833333333334
1757,Finland,1.7018333333333333
1757,France,12.521583333333334
1757,France (Europe),10.015583333333334
1757,Germany,8.108583333333334
1757,Greece,14.998666666666667
1757,Guernsey,10.701749999999999
1757,Hungary,9.841083333333334
1757,Iceland,1.7738333333333332
1757,Ireland,9.462833333333334
1757,Isle Of Man,9.364916666666668
1757,Italy,12.532583333333333
1757,Jersey,10.701749999999999
1757,Latvia,5.741333333333333
1757,Liechtenstein,4.295916666666666
1757,Lithuania,6.301833333333334
1757,Luxembourg,8.84275
1757,Macedonia,10.543166666666666
1757,Malta,18.536916666666666
1757,Moldova,9.334916666666667
1757,Monaco,8.576083333333333
1757,Montenegro,10.306666666666667
1757,Netherlands,9.43625
1757,Netherlands (Europe),9.032666666666668
1757,Norway,0.3802499999999999
1757,Poland,7.7459999999999996
1757,Portugal,14.710333333333333
1757,Romania,9.050583333333334
1757,Saint Pierre And Miquelon,3.7568181818181823
1757,San Marino,13.648833333333334
1757,Serbia,10.124416666666667
1757,Slovakia,7.69475
1757,Slovenia,9.549333333333333
1757,Spain,13.51175
1757,Sweden,2.6281666666666665
1757,Switzerland,6.481583333333334
1757,Tunisia,20.017416666666666
1757,Ukraine,8.129
1757,United Kingdom,8.501583333333334
1757,United Kingdom (Europe),8.638333333333334
1757,Åland,5.413833333333334
1758,Albania,11.444333333333333
1758,Andorra,10.144666666666666
1758,Austria,5.363416666666667
1758,Bahamas,24.650444444444446
1758,Belarus,4.343666666666667
1758,Belgium,8.914333333333333
1758,Bosnia And Herzegovina,9.395333333333333
1758,Bulgaria,9.199083333333332
1758,Croatia,10.380333333333333
1758,Czech Republic,6.798416666666665
1758,Denmark (Europe),7.115583333333333
1758,Estonia,3.2395833333333335
1758,Europe,6.690833333333334
1758,Faroe Islands,5.583916666666667
1758,Finland,-0.338083333333333
1758,France,11.737333333333334
1758,France (Europe),9.486
1758,Germany,7.496083333333334
1758,Greece,13.49125
1758,Guernsey,10.068333333333333
1758,Hungary,8.688166666666667
1758,Iceland,0.1506666666666665
1758,Ireland,8.506916666666667
1758,Isle Of Man,8.607583333333332
1758,Italy,11.792166666666667
1758,Jersey,10.068333333333333
1758,Latvia,3.8440833333333337
1758,Liechtenstein,3.8277500000000004
1758,Lithuania,4.550666666666666
1758,Luxembourg,8.512
1758,Macedonia,9.176
1758,Malta,17.276166666666665
1758,Moldova,7.551333333333333
1758,Monaco,8.151
1758,Montenegro,9.09675
1758,Netherlands,9.083916666666667
1758,Netherlands (Europe),8.716833333333334
1758,Norway,-1.1045
1758,Poland,6.429083333333334
1758,Portugal,13.356333333333332
1758,Romania,7.506833333333333
1758,Saint Pierre And Miquelon,2.859583333333333
1758,San Marino,12.940083333333334
1758,Serbia,8.857416666666667
1758,Slovakia,6.508499999999999
1758,Slovenia,8.766416666666666
1758,Spain,12.388916666666667
1758,Sweden,1.20475
1758,Switzerland,6.097083333333334
1758,Tunisia,18.685333333333336
1758,Ukraine,6.181
1758,United Kingdom,7.698166666666666
1758,United Kingdom (Europe),7.915
1758,Åland,4.074833333333333
1759,Albania,12.492916666666666
1759,Andorra,11.299750000000001
1759,Austria,6.363833333333333
1759,Bahamas,24.544416666666667
1759,Belarus,5.53625
1759,Belgium,9.86375
1759,Bosnia And Herzegovina,10.438
1759,Bulgaria,10.240416666666667
1759,Croatia,11.418416666666666
1759,Czech Republic,7.721
1759,Denmark (Europe),8.209916666666667
1759,Estonia,4.6354999999999995
1759,Europe,7.798333333333333
1759,Faroe Islands,6.6355
1759,Finland,1.0075000000000003
1759,France,12.8395
1759,France (Europe),10.60125
1759,Germany,8.41275
1759,Greece,14.534833333333333
1759,Guernsey,11.100416666666666
1759,Hungary,9.70275
1759,Iceland,1.19025
1759,Ireland,9.498333333333333
1759,Isle Of Man,9.583083333333333
1759,Italy,12.898166666666667
1759,Jersey,11.100416666666666
1759,Latvia,5.171833333333333
1759,Liechtenstein,4.888833333333333
1759,Lithuania,5.800166666666667
1759,Luxembourg,9.499916666666666
1759,Macedonia,10.219583333333334
1759,Malta,18.362833333333334
1759,Moldova,8.621583333333334
1759,Monaco,9.33225
1759,Montenegro,10.141083333333333
1759,Netherlands,9.959583333333333
1759,Netherlands (Europe),9.589083333333333
1759,Norway,0.08708333333333318
1759,Poland,7.466583333333333
1759,Portugal,14.452583333333335
1759,Romania,8.552583333333335
1759,Saint Pierre And Miquelon,3.7441666666666666
1759,San Marino,14.018749999999999
1759,Serbia,9.893666666666666
1759,Slovakia,7.509
1759,Slovenia,9.80275
1759,Spain,13.504
1759,Sweden,2.4716666666666667
1759,Switzerland,7.247416666666667
1759,Tunisia,19.793499999999998
1759,Ukraine,7.280833333333334
1759,United Kingdom,8.682083333333333
1759,United Kingdom (Europe),8.895166666666666
1759,Åland,5.452083333333333
1760,Albania,12.155
1760,Andorra,11.082416666666667
1760,Austria,6.3795
1760,Bahamas,19.251
1760,Belarus,4.751500000000001
1760,Belgium,9.652416666666666
1760,Bosnia And Herzegovina,10.233583333333334
1760,Bulgaria,9.804499999999999
1760,Croatia,11.276499999999999
1760,Czech Republic,7.6905
1760,Denmark (Europe),7.6605
1760,Estonia,3.450583333333333
1760,Europe,7.263416666666667
1760,Faroe Islands,5.722083333333334
1760,Finland,-0.2864999999999998
1760,France,12.593166666666667
1760,France (Europe),10.47125
1760,Germany,8.380166666666668
1760,Greece,14.086416666666667
1760,Guernsey,10.718333333333334
1760,Hungary,9.497083333333334
1760,Iceland,0.26025000000000015
1760,Ireland,8.828916666666666
1760,Isle Of Man,8.925666666666666
1760,Italy,12.732416666666667
1760,Jersey,10.718333333333334
1760,Latvia,4.1736666666666675
1760,Liechtenstein,5.0215000000000005
1760,Lithuania,4.9965
1760,Luxembourg,9.438833333333333
1760,Macedonia,9.860083333333334
1760,Malta,17.94425
1760,Moldova,8.073333333333334
1760,Monaco,9.224083333333333
1760,Montenegro,9.853083333333334
1760,Netherlands,9.514000000000001
1760,Netherlands (Europe),9.151
1760,Norway,-0.9297500000000002
1760,Poland,7.113666666666666
1760,Portugal,13.899000000000001
1760,Romania,8.136916666666666
1760,Saint Pierre And Miquelon,2.3176363636363635
1760,San Marino,13.902666666666667
1760,Serbia,9.602416666666668
1760,Slovakia,7.297666666666667
1760,Slovenia,9.735083333333334
1760,Spain,13.071166666666668
1760,Sweden,1.4364166666666662
1760,Switzerland,7.374666666666667
1760,Tunisia,19.304416666666665
1760,Ukraine,6.618166666666667
1760,United Kingdom,8.033166666666666
1760,United Kingdom (Europe),8.255583333333334
1760,Åland,4.322
1761,Albania,12.87625
1761,Andorra,11.301916666666665
1761,Austria,6.572583333333334
1761,Bahamas,
1761,Belarus,6.101666666666667
1761,Belgium,9.722416666666666
1761,Bosnia And Herzegovina,10.721416666666668
1761,Bulgaria,10.755583333333334
1761,Croatia,11.65725
1761,Czech Republic,8.073916666666667
1761,Denmark (Europe),8.426250000000001
1761,Estonia,5.096
1761,Europe,8.135666666666667
1761,Faroe Islands,7.055666666666667
1761,Finland,1.5720833333333335
1761,France,12.913166666666667
1761,France (Europe),10.539583333333335
1761,Germany,8.596166666666667
1761,Greece,15.024666666666667
1761,Guernsey,11.068083333333334
1761,Hungary,10.075333333333333
1761,Iceland,1.7779166666666668
1761,Ireland,9.657833333333334
1761,Isle Of Man,9.636000000000001
1761,Italy,12.972166666666666
1761,Jersey,11.068083333333334
1761,Latvia,5.6375
